English,中文,日本語
bin,芭芭拉一斗诺艾尔,バーバラ一斗ノエル
artifact,圣遗物,聖遺物
mm,镜女,ミラーメイデン
sc,超导,超電導
ec,感电,感電
quicken,激化,激化
vape,蒸发,蒸発
melt,融化,溶解
totm,千岩牢固,千岩牢固
aggro,快攻,アグロ
stall,慢速,コントロール
agent,讨债,エージェント
anemo,风属性,風元素
geo,岩属性,岩元素
electro,雷属性,雷元素
dendro,草属性,草元素
hydro,水属性,水元素
pyro,火属性,炎元素
cryo,冰属性,氷元素
res,共鸣,共鳴
oceanid,纯水精灵,純水精霊
meta,版本答案,メタ
AFK,挂机,離席
Fatui,愚人众,ファデュイ
send off,送你一程,送ってあげよー
calx,白垩,白亜
burst,元素爆发,元素爆発
arcane,秘传,秘伝
highroll,胡,上振れ
childe,公子,公子
deck,卡组,デッキ
ramp,摆牌,ランプ
value engine,科技,
mulligan,起手手牌,マリガン
tech,针对牌,対策カード
cringe dice,炸骰,ダイス事故
tempo,节奏,テンポ
line,轴,ルート
finaly,林皇草,リネ愛草
2nemo,双风,双風
mew,莫散优,凍結放浪者
mes,莫柚优,凍結早柚
litm,交给我吧,お任せください
tm,雷音权限,雷音権現
wgs,狼末,狼の末路
lofi,裁叶翠光,萃光の裁葉
kuki yaoyao,久瑶,よしのぶ
neuvi,那维莱特,ヌヴィレット
xq,行秋,行秋
app,附着,付着
sayu,早柚,早柚
nilou,妮露,ニィロウ
Zhongli,钟离,鍾離
Chongyun,重云,重雲
herald,水使徒,アビスの使徒·激流
one-hit-ko,秒杀,瞬殺
swap stall,逛街,反復横跳
Yunjin,云堇,雲菫
LASH,林龙马,若陀マジック
conwhale,双圣鲸,聖骸クジラ
Wrio,莱欧,リオセスリ
Hutao,胡桃,胡桃
Yoimiya,宵宫,宵宮
Keqing,刻晴,刻晴
Wanderer,散兵,放浪者
Yelan,夜兰,夜蘭
Xiangling,香菱,香菱
Itto,一斗,荒瀧一斗
Xinyan,辛焱,辛炎
Xiao,魈,魈
Yaoyao,瑶瑶,ヨォーヨ
Kuki,97,久岐忍
Baizhu,白术,白朮
kirara,绮良良,綺良々
Signora,女士,「淑女」
Azhdaha,若陀龙王,若陀龍王
Ningguang,凝光,凝光
Raiden Shogun,雷电将军,雷電将軍
Kenki,剑鬼,魔偶剣鬼
Ganyu,甘雨,甘雨
Tulaytullah,铃铛,トゥライトゥーラの記憶
The Bell,钟剑,鐘の剣
PJWS,鸟枪,和璞鳶
Rightful Reward,公义,正義の報酬
Glided,饰金,金メッキの夢
Heart of Khvarena's Brilliance,小粉,霊光明滅の心
Flowing Rings,小绿,浮流の対玉
Dunyarzad,蒂娜泽黛,ドニアザード
Yayoi,弥生七月,弥生七月
King's Squire,王下,王の近侍
Kusava,苦舍桓,クサヴァ
Moonpiercer,贯月,ムーンピアサー
Seelie,仙灵,仙霊
Judgment,裁定,裁定の時
fwof,风自,自由の新風
stove,灶火,万戸の竈
toss-up,乾坤一掷,乾坤一擲
ihly,本大爷,俺様はまだ負けちゃいねぇ
Liben,立本,立本
Changing Shifts,换班,シフト交代の時間
When the Crane Returned,鹤归,鶴の帰郷
Countdown,倒计时,トリックカウントダウン
underwater,挖宝,海中の宝探し
Adeptus,仙跳墙,仙跳牆
Sunyata,净觉花,シューニャター花
Seed Dispensary,化种匣,種の匣
Boar,野猪,イノシシプリ
Tandoori,烤鸡,タンドリーチ
crisp,酥,ハスの花パイ
Double Consecrated,双圣,双聖骸
mauso,赤王陵,キングデシェレトの霊廟
para,质变仪,参量物質変化
lyresong,琴音,琴音の詩
jeht,捷德,ジェイド
Vennessa,温妮莎,ヴァネッサ
Emblem,大绝缘,絶縁の旗印
Sapwood Blade,原木刀,原木刀
Sucrose,砂糖,スクロース
Jean,琴,ジン
Joyous,欢游,雀躍のパレード
talent,天赋,天賦
Qiqi,七七,七七
Yanfei,烟绯,煙緋
GITCG,七圣召唤,七聖召喚
preliminary,海选,予選
knockout,淘汰赛,トーナメント戦
Dynamic Cup,影幻杯,影幻杯
Skyfrost Nail Cup,寒天之钉杯,寒天之釘杯
Resonance Cup,共鸣杯,共鳴杯
Summoners Summit,召唤之巅,召唤之巅
Moontalk Cup,月话杯,月話杯
Mars Cup,火星杯,火星杯
CTG,猫尾聚会,キャッツテール集会
Randouwushuang Cup,燃斗无双杯,燃斗無双杯
Haoyou Express Cup,好游快报杯,好游快报杯
Prince Cup,小王子杯,リトルプリンス杯
buff,加强,バフ
nerf,削弱,ナーフ
hypermagic,捷德魔术,
magic,饰金魔术,
运筹帷幄,strategize,権謀術数
确实,indeed,確かに
内战,mirror,
